Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,OpenPorchSF,MoSold,MSZoning_RL,Neighborhood_Crawfor,MasVnrArea_209.0,MasVnrArea_428.0,SalePrice
1,65.0,8450.0,7.0,5.0,2003.0,2003.0,3.0,4.0,3.0,1.0,6.0,706.0,856.0,1.0,856.0,854.0,1710.0,3.0,0.0,0.0,5.0,2003.0,2.0,2.0,548.0,61.0,2.0,1.0,0.0,0.0,0.0,208500
2,80.0,9600.0,6.0,8.0,1976.0,1976.0,2.0,4.0,3.0,4.0,5.0,978.0,1262.0,1.0,1262.0,0.0,1262.0,2.0,1.0,3.0,5.0,1976.0,2.0,2.0,460.0,0.0,5.0,1.0,0.0,0.0,0.0,181500
3,68.0,11250.0,7.0,5.0,2001.0,2002.0,3.0,4.0,3.0,2.0,6.0,486.0,920.0,1.0,920.0,866.0,1786.0,3.0,1.0,3.0,5.0,2001.0,2.0,2.0,608.0,42.0,9.0,1.0,0.0,0.0,0.0,223500
4,60.0,9550.0,7.0,5.0,1915.0,1970.0,2.0,3.0,4.0,1.0,5.0,216.0,756.0,1.0,961.0,756.0,1717.0,3.0,1.0,4.0,2.0,1998.0,1.0,3.0,642.0,35.0,2.0,1.0,1.0,0.0,0.0,140000
5,84.0,14260.0,8.0,5.0,2000.0,2000.0,3.0,4.0,3.0,3.0,6.0,655.0,1145.0,1.0,1145.0,1053.0,2198.0,3.0,1.0,3.0,5.0,2000.0,2.0,3.0,836.0,84.0,12.0,1.0,0.0,0.0,0.0,250000
6,85.0,14115.0,5.0,5.0,1993.0,1995.0,2.0,4.0,3.0,1.0,6.0,732.0,796.0,1.0,796.0,566.0,1362.0,2.0,0.0,0.0,5.0,1993.0,1.0,2.0,480.0,30.0,10.0,1.0,0.0,0.0,0.0,143000
7,75.0,10084.0,8.0,5.0,2004.0,2005.0,3.0,5.0,3.0,3.0,6.0,1369.0,1686.0,1.0,1694.0,0.0,1694.0,3.0,1.0,4.0,5.0,2004.0,2.0,2.0,636.0,57.0,8.0,1.0,0.0,0.0,0.0,307000
8,0.0,10382.0,7.0,6.0,1973.0,1973.0,2.0,4.0,3.0,2.0,5.0,859.0,1107.0,1.0,1107.0,983.0,2090.0,2.0,2.0,3.0,5.0,1973.0,2.0,2.0,484.0,204.0,11.0,1.0,0.0,0.0,0.0,200000
9,51.0,6120.0,7.0,5.0,1931.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,952.0,1.0,1022.0,752.0,1774.0,2.0,2.0,3.0,2.0,1931.0,1.0,2.0,468.0,0.0,4.0,0.0,0.0,0.0,0.0,129900
10,50.0,7420.0,5.0,6.0,1939.0,1950.0,2.0,3.0,3.0,1.0,6.0,851.0,991.0,1.0,1077.0,0.0,1077.0,2.0,2.0,3.0,5.0,1939.0,2.0,1.0,205.0,4.0,1.0,1.0,0.0,0.0,0.0,118000
11,70.0,11200.0,5.0,5.0,1965.0,1965.0,2.0,3.0,3.0,1.0,3.0,906.0,1040.0,1.0,1040.0,0.0,1040.0,2.0,0.0,0.0,2.0,1965.0,1.0,1.0,384.0,0.0,2.0,1.0,0.0,0.0,0.0,129500
12,85.0,11924.0,9.0,5.0,2005.0,2006.0,4.0,5.0,3.0,1.0,6.0,998.0,1175.0,1.0,1182.0,1142.0,2324.0,4.0,2.0,4.0,6.0,2005.0,3.0,3.0,736.0,21.0,7.0,1.0,0.0,0.0,0.0,345000
13,0.0,12968.0,5.0,6.0,1962.0,1962.0,2.0,3.0,3.0,1.0,5.0,737.0,912.0,1.0,912.0,0.0,912.0,2.0,0.0,0.0,2.0,1962.0,1.0,1.0,352.0,0.0,9.0,1.0,0.0,0.0,0.0,144000
14,91.0,10652.0,7.0,5.0,2006.0,2007.0,3.0,4.0,3.0,3.0,1.0,0.0,1494.0,1.0,1494.0,0.0,1494.0,3.0,1.0,4.0,5.0,2006.0,2.0,3.0,840.0,33.0,8.0,1.0,0.0,0.0,0.0,279500
15,0.0,10920.0,6.0,5.0,1960.0,1960.0,2.0,3.0,3.0,1.0,4.0,733.0,1253.0,1.0,1253.0,0.0,1253.0,2.0,1.0,2.0,5.0,1960.0,2.0,1.0,352.0,213.0,5.0,1.0,0.0,0.0,0.0,157000
16,51.0,6120.0,7.0,8.0,1929.0,2001.0,2.0,3.0,3.0,1.0,1.0,0.0,832.0,1.0,854.0,0.0,854.0,2.0,0.0,0.0,2.0,1991.0,1.0,2.0,576.0,112.0,7.0,0.0,0.0,0.0,0.0,132000
17,0.0,11241.0,6.0,7.0,1970.0,1970.0,2.0,3.0,3.0,1.0,5.0,578.0,1004.0,1.0,1004.0,0.0,1004.0,2.0,1.0,3.0,5.0,1970.0,3.0,2.0,480.0,0.0,3.0,1.0,0.0,0.0,0.0,149000
18,72.0,10791.0,4.0,5.0,1967.0,1967.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1296.0,0.0,1296.0,2.0,0.0,0.0,1.0,1967.0,1.0,2.0,516.0,0.0,10.0,1.0,0.0,0.0,0.0,90000
19,66.0,13695.0,5.0,5.0,2004.0,2004.0,2.0,3.0,3.0,1.0,6.0,646.0,1114.0,1.0,1114.0,0.0,1114.0,3.0,0.0,0.0,2.0,2004.0,1.0,2.0,576.0,102.0,6.0,1.0,0.0,0.0,0.0,159000
20,70.0,7560.0,5.0,6.0,1958.0,1965.0,2.0,3.0,3.0,1.0,2.0,504.0,1029.0,1.0,1339.0,0.0,1339.0,2.0,0.0,0.0,5.0,1958.0,1.0,1.0,294.0,0.0,5.0,1.0,0.0,0.0,0.0,139000
21,101.0,14215.0,8.0,5.0,2005.0,2006.0,3.0,5.0,3.0,3.0,1.0,0.0,1158.0,1.0,1158.0,1218.0,2376.0,3.0,1.0,4.0,6.0,2005.0,2.0,3.0,853.0,154.0,11.0,1.0,0.0,0.0,0.0,325300
22,57.0,7449.0,7.0,7.0,1930.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,637.0,1.0,1108.0,0.0,1108.0,3.0,1.0,4.0,5.0,1930.0,1.0,1.0,280.0,0.0,6.0,0.0,0.0,0.0,0.0,139400
23,75.0,9742.0,8.0,5.0,2002.0,2002.0,3.0,4.0,3.0,1.0,1.0,0.0,1777.0,1.0,1795.0,0.0,1795.0,3.0,1.0,4.0,5.0,2002.0,2.0,2.0,534.0,159.0,9.0,1.0,0.0,0.0,0.0,230000
24,44.0,4224.0,5.0,7.0,1976.0,1976.0,2.0,4.0,3.0,1.0,6.0,840.0,1040.0,1.0,1060.0,0.0,1060.0,2.0,1.0,3.0,5.0,1976.0,1.0,2.0,572.0,110.0,6.0,0.0,0.0,0.0,0.0,129900
25,0.0,8246.0,5.0,8.0,1968.0,2001.0,2.0,3.0,3.0,2.0,3.0,188.0,1060.0,1.0,1060.0,0.0,1060.0,3.0,1.0,3.0,5.0,1968.0,1.0,1.0,270.0,90.0,5.0,1.0,0.0,0.0,0.0,154000
26,110.0,14230.0,8.0,5.0,2007.0,2007.0,3.0,4.0,3.0,1.0,1.0,0.0,1566.0,1.0,1600.0,0.0,1600.0,3.0,1.0,4.0,5.0,2007.0,2.0,3.0,890.0,56.0,7.0,1.0,0.0,0.0,0.0,256300
27,60.0,7200.0,5.0,7.0,1951.0,2000.0,2.0,3.0,3.0,2.0,4.0,234.0,900.0,1.0,900.0,0.0,900.0,3.0,0.0,0.0,2.0,2005.0,1.0,2.0,576.0,32.0,5.0,1.0,0.0,0.0,0.0,134800
28,98.0,11478.0,8.0,5.0,2007.0,2008.0,3.0,5.0,3.0,1.0,6.0,1218.0,1704.0,1.0,1704.0,0.0,1704.0,3.0,1.0,4.0,5.0,2008.0,2.0,3.0,772.0,50.0,5.0,1.0,0.0,0.0,0.0,306000
29,47.0,16321.0,5.0,6.0,1957.0,1997.0,2.0,3.0,3.0,4.0,4.0,1277.0,1484.0,1.0,1600.0,0.0,1600.0,2.0,2.0,4.0,5.0,1957.0,2.0,1.0,319.0,258.0,12.0,1.0,0.0,0.0,0.0,207500
30,60.0,6324.0,4.0,6.0,1927.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,520.0,0.0,520.0,0.0,520.0,1.0,0.0,0.0,2.0,1920.0,1.0,1.0,240.0,0.0,5.0,0.0,0.0,0.0,0.0,68500
31,50.0,8500.0,4.0,4.0,1920.0,1950.0,2.0,3.0,3.0,1.0,1.0,0.0,649.0,0.0,649.0,668.0,1317.0,2.0,0.0,0.0,2.0,1920.0,1.0,1.0,250.0,54.0,7.0,0.0,0.0,0.0,0.0,40000
32,0.0,8544.0,5.0,6.0,1966.0,2006.0,2.0,3.0,3.0,1.0,1.0,0.0,1228.0,1.0,1228.0,0.0,1228.0,3.0,0.0,0.0,5.0,1966.0,1.0,1.0,271.0,65.0,6.0,1.0,0.0,0.0,0.0,149350
33,85.0,11049.0,8.0,5.0,2007.0,2007.0,3.0,5.0,3.0,3.0,1.0,0.0,1234.0,1.0,1234.0,0.0,1234.0,3.0,0.0,0.0,5.0,2007.0,2.0,2.0,484.0,30.0,1.0,1.0,0.0,0.0,0.0,179900
34,70.0,10552.0,5.0,5.0,1959.0,1959.0,2.0,3.0,3.0,1.0,3.0,1018.0,1398.0,1.0,1700.0,0.0,1700.0,3.0,1.0,4.0,5.0,1959.0,2.0,2.0,447.0,38.0,4.0,1.0,0.0,0.0,0.0,165500
35,60.0,7313.0,9.0,5.0,2005.0,2005.0,4.0,5.0,3.0,1.0,6.0,1153.0,1561.0,1.0,1561.0,0.0,1561.0,4.0,1.0,4.0,5.0,2005.0,3.0,2.0,556.0,47.0,8.0,1.0,0.0,0.0,0.0,277500
