,LotArea,GarageFinish,YearRemodAdd,KitchenAbvGr,LowQualFinSF,ExterCond,BsmtHalfBath,Fireplaces,CentralAir,BsmtUnfSF,GarageCars,Neighborhood_NWAmes,1stFlrSF,BsmtFinType1,GarageYrBlt
0,8450,2,2003,1,0,2,0,0,1,150,2,0,856,6,2003.0
1,9600,2,1976,1,0,2,1,1,1,284,2,0,1262,5,1976.0
2,11250,2,2002,1,0,2,0,1,1,434,2,0,920,6,2001.0
3,9550,1,1970,1,0,2,0,1,1,540,3,0,961,5,1998.0
4,14260,2,2000,1,0,2,0,1,1,490,3,0,1145,6,2000.0
5,14115,1,1995,1,0,2,0,0,1,64,2,0,796,6,1993.0
6,10084,2,2005,1,0,2,0,1,1,317,2,0,1694,6,2004.0
7,10382,2,1973,1,0,2,0,2,1,216,2,1,1107,5,1973.0
8,6120,1,1950,2,0,2,0,2,1,952,2,0,1022,1,1931.0
9,7420,2,1950,2,0,2,0,2,1,140,1,0,1077,6,1939.0
10,11200,1,1965,1,0,2,0,0,1,134,1,0,1040,3,1965.0
11,11924,3,2006,1,0,2,0,2,1,177,3,0,1182,6,2005.0
12,12968,1,1962,1,0,2,0,0,1,175,1,0,912,5,1962.0
13,10652,2,2007,1,0,2,0,1,1,1494,3,0,1494,1,2006.0
14,10920,2,1960,1,0,2,0,1,1,520,1,0,1253,4,1960.0
15,6120,1,2001,1,0,2,0,0,1,832,2,0,854,1,1991.0
16,11241,3,1970,1,0,2,0,1,1,426,2,0,1004,5,1970.0
17,10791,1,1967,2,0,2,0,0,1,0,2,0,1296,0,1967.0
18,13695,1,2004,1,0,2,0,0,1,468,2,0,1114,6,2004.0
19,7560,1,1965,1,0,2,0,0,1,525,1,0,1339,2,1958.0
20,14215,2,2006,1,0,2,0,1,1,1158,3,0,1158,1,2005.0
21,7449,1,1950,1,0,2,0,1,1,637,1,0,1108,1,1930.0
22,9742,2,2002,1,0,2,0,1,1,1777,2,0,1795,1,2002.0
23,4224,1,1976,1,0,2,0,1,1,200,2,0,1060,6,1976.0
24,8246,1,2001,1,0,3,0,1,1,204,1,0,1060,3,1968.0
25,14230,2,2007,1,0,2,0,1,1,1566,3,0,1600,1,2007.0
26,7200,1,2000,1,0,2,1,0,1,180,2,0,900,4,2005.0
27,11478,2,2008,1,0,2,0,1,1,486,3,0,1704,6,2008.0
28,16321,2,1997,1,0,2,0,2,1,207,1,0,1600,4,1957.0
29,6324,1,1950,1,0,2,0,0,0,520,1,0,520,1,1920.0
30,8500,1,1950,1,0,1,0,0,0,649,1,0,649,1,1920.0
31,8544,1,2006,1,0,2,0,0,1,1228,1,0,1228,1,1966.0
32,11049,2,2007,1,0,2,0,0,1,1234,2,0,1234,1,2007.0
33,10552,2,1959,1,0,2,1,1,1,380,2,0,1700,3,1959.0
34,7313,3,2005,1,0,2,0,1,1,408,2,0,1561,6,2005.0
35,13418,3,2005,1,0,2,0,1,1,1117,3,0,1132,1,2004.0
36,10859,1,1995,1,0,2,0,0,1,1097,2,0,1097,1,1995.0
37,8532,3,1990,1,0,2,1,1,1,84,2,0,1297,3,1954.0
38,7922,1,2007,1,0,3,0,0,1,326,1,0,1057,6,1953.0
39,6040,0,1955,2,0,2,0,0,0,0,0,0,1152,0,0.0
40,8658,2,1965,1,0,2,0,1,1,445,2,0,1324,3,1965.0
41,16905,2,1959,1,0,3,1,2,1,383,1,0,1328,4,1959.0
42,9180,2,1983,1,0,2,0,0,1,0,2,0,884,5,1983.0
43,9200,1,1980,1,0,2,0,0,1,167,1,0,938,2,1977.0
44,7945,2,1959,1,0,2,0,0,1,465,1,0,1150,5,1959.0
45,7658,2,2005,1,0,2,0,1,1,1296,2,0,1752,6,2005.0
46,12822,2,2003,1,0,2,0,1,1,83,2,0,1518,6,2003.0
47,11096,2,2006,1,0,2,0,0,1,1632,3,0,1656,6,2006.0
48,4456,0,2008,3,0,2,0,0,1,736,0,0,736,1,0.0
49,7742,1,1966,1,0,2,0,0,1,192,1,0,955,4,1966.0
50,13869,3,1997,1,0,2,1,0,1,612,2,0,794,6,1997.0
51,6240,1,1950,1,360,2,0,1,1,816,2,0,816,1,1985.0
52,8472,1,1963,1,0,2,0,0,0,0,2,0,816,2,1963.0
53,50271,3,1987,1,0,2,0,1,1,32,3,0,1842,6,1981.0
54,7134,1,1955,1,0,2,0,1,1,0,2,0,1360,5,1962.0
55,10175,2,1964,1,0,2,0,1,1,935,2,0,1425,4,1964.0
56,2645,3,2000,1,0,2,0,0,1,321,2,0,983,6,1999.0
57,11645,2,2004,1,0,2,0,0,1,860,2,0,860,1,2004.0
58,13682,3,2006,1,0,2,0,1,1,1410,3,0,1426,1,2006.0
59,7200,1,1972,1,0,2,0,0,1,148,1,0,780,5,1973.0
60,13072,1,2004,1,0,2,0,0,1,217,2,0,1158,5,2006.0
61,7200,1,1996,1,0,2,0,0,0,530,1,0,581,1,1935.0
62,6442,2,2006,1,0,2,0,1,1,1346,2,0,1370,6,2006.0
